                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.1386,                0.54815,                 1.2768,                0.97405,                 0.9878,                0.99425,                0.69197,                 1.1412,                0.51518,                 1.3768,              0.0064835,              0.0064835,              0.0064835
                     91,                 1.1169,                0.54093,                 1.2256,                0.95048,                0.93421,                0.98433,                0.63077,                 1.2453,                0.76369,                 1.4628,              0.0064436,              0.0064436,              0.0064436
                     92,                  1.127,                 0.5401,                 1.2494,                0.95932,                0.98684,                0.99289,                0.66588,                 1.1748,                0.61311,                  1.411,              0.0064036,              0.0064036,              0.0064036
                     93,                 1.1433,                0.55125,                 1.2856,                0.96854,                0.99123,                0.99371,                0.65952,                 1.1678,                0.58914,                 1.4038,              0.0063636,              0.0063636,              0.0063636
                     94,                 1.1061,                  0.542,                 1.2366,                0.97842,                0.99449,                0.99341,                0.64579,                 1.1997,                0.53194,                 1.4343,              0.0063237,              0.0063237,              0.0063237
                     95,                 1.0895,                0.51693,                 1.2264,                0.98672,                0.97732,                0.99372,                0.67145,                 1.2295,                0.53567,                 1.4341,              0.0062837,              0.0062837,              0.0062837
                     96,                 1.0856,                0.53388,                 1.2332,                0.98248,                0.98385,                0.99385,                0.66954,                 1.2246,                0.54463,                 1.4197,              0.0062438,              0.0062438,              0.0062438
                     97,                 1.1044,                0.54459,                 1.2464,                0.97225,                0.96491,                0.99191,                0.67118,                  1.198,                0.53085,                 1.3936,              0.0062038,              0.0062038,              0.0062038
                     98,                 1.0942,                0.53235,                 1.2349,                0.96915,                0.98246,                0.99183,                0.66673,                 1.2076,                0.51861,                 1.3986,              0.0061638,              0.0061638,              0.0061638
                     99,                 1.0897,                0.53033,                 1.2466,                0.96264,                0.99561,                0.99122,                0.65359,                 1.2121,                0.55234,                  1.414,              0.0061239,              0.0061239,              0.0061239
                    100,                 1.0715,                0.52467,                 1.2329,                0.96577,                0.99123,                0.99354,                0.66703,                 1.2107,                0.53912,                 1.4099,              0.0060839,              0.0060839,              0.0060839
                    101,                 1.1004,                0.52896,                 1.2288,                0.97691,                0.99561,                0.99375,                 0.6412,                 1.2519,                0.56561,                 1.4622,               0.006044,               0.006044,               0.006044
                    102,                 1.1132,                0.53058,                 1.2641,                0.99465,                0.98684,                0.99453,                0.65535,                 1.2563,                0.54047,                  1.456,               0.006004,               0.006004,               0.006004
                    103,                 1.0768,                0.51473,                 1.2252,                0.94858,                0.98684,                0.99108,                0.67011,                  1.256,                0.55333,                 1.4654,               0.005964,               0.005964,               0.005964
                    104,                 1.0941,                0.52731,                  1.241,                0.98904,                0.98684,                0.99478,                0.67528,                 1.1804,                0.50971,                 1.4022,              0.0059241,              0.0059241,              0.0059241
                    105,                 1.0857,                0.53199,                 1.2087,                0.97433,                0.98246,                0.99308,                0.66236,                 1.2398,                0.54233,                 1.4504,              0.0058841,              0.0058841,              0.0058841
                    106,                 1.0858,                0.53535,                 1.2296,                0.98257,                0.98877,                 0.9931,                0.66657,                 1.2228,                0.49516,                 1.4213,              0.0058442,              0.0058442,              0.0058442
                    107,                 1.0521,                 0.5157,                 1.2037,                0.98553,                0.99123,                0.99452,                0.66111,                 1.1728,                0.50953,                 1.4064,              0.0058042,              0.0058042,              0.0058042
                    108,                 1.0862,                0.52458,                 1.2182,                0.97824,                0.98684,                0.99367,                0.65888,                 1.2008,                0.53766,                 1.3987,              0.0057642,              0.0057642,              0.0057642
                    109,                 1.0988,                0.52666,                 1.2232,                 0.9835,                0.99123,                0.99469,                0.67377,                 1.1526,                0.49521,                 1.3801,              0.0057243,              0.0057243,              0.0057243
                    110,                 1.0544,                0.51363,                  1.216,                0.98922,                0.98684,                0.99349,                0.67561,                 1.1905,                0.54413,                 1.4245,              0.0056843,              0.0056843,              0.0056843
                    111,                 1.0737,                0.51027,                 1.2147,                0.96973,                 0.9837,                0.99267,                0.66162,                 1.1707,                0.51362,                 1.3924,              0.0056444,              0.0056444,              0.0056444
                    112,                 1.0998,                0.51766,                 1.2377,                0.97399,                0.98534,                0.99426,                0.66049,                 1.2057,                0.51855,                 1.4082,              0.0056044,              0.0056044,              0.0056044
                    113,                 1.0429,                0.50076,                 1.2066,                0.96097,                0.98684,                0.99218,                0.65854,                 1.1828,                0.53057,                 1.3879,              0.0055644,              0.0055644,              0.0055644
                    114,                 1.0619,                0.50743,                 1.2089,                0.97626,                0.98684,                0.99338,                0.66899,                 1.1778,                0.54399,                 1.3908,              0.0055245,              0.0055245,              0.0055245
                    115,                 1.0654,                0.50518,                 1.2084,                0.98257,                0.98879,                0.99456,                0.66776,                 1.1618,                 0.6277,                 1.3806,              0.0054845,              0.0054845,              0.0054845
